rank,segment_id,road_type,area_type,posted_speed_limit_kph,operating_speed_kph,safe_system_reference_speed_kph,pedestrian_presence,cyclist_presence,ptw_presence,urban_flag,intersection_density_flag,speed_limit_gap_score,operating_speed_score,vru_exposure_score,context_score,speed_safety_score,priority_label
50,2115,secondary,urban,55.0,47.285714285714285,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
51,682,secondary,urban,55.0,34.166666666666664,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
52,1373,secondary,urban,55.0,54.25,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
53,1622,secondary,urban,55.0,35.0,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
54,1197,secondary,urban,55.0,50.0,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
55,1322,secondary,urban,55.0,54.5,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
56,1252,secondary,urban,55.0,49.66666666666666,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
57,3800,secondary,urban,55.0,31.25,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
58,1329,secondary,urban,55.0,54.0,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
59,1331,secondary,urban,55.0,42.81818181818182,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
60,3779,secondary,urban,55.0,35.0,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
61,243,secondary,urban,55.0,44.25,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
62,3743,secondary,urban,55.0,31.75,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
63,579,secondary,urban,55.0,41.66666666666666,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
64,354,secondary,urban,55.0,35.0,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
65,250,secondary,urban,55.0,54.5,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
66,597,secondary,urban,55.0,35.0,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
67,887,secondary,urban,55.0,47.5,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
68,1873,secondary,urban,55.0,54.0,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
69,1926,secondary,urban,55.0,52.5,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
70,3665,secondary,urban,55.0,31.5,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
71,491,secondary,urban,55.0,45.5,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
72,1203,secondary,urban,55.0,53.0,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
73,1363,secondary,urban,55.0,53.333333333333336,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
74,1141,secondary,urban,55.0,31.0,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
75,117,secondary,urban,55.0,32.0,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
76,1796,secondary,urban,55.0,36.0,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
77,2283,secondary,urban,55.0,45.5,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
78,2265,secondary,urban,55.0,30.166666666666668,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
79,1648,secondary,urban,55.0,38.5,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
80,429,secondary,urban,55.0,32.25,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
81,1481,secondary,urban,55.0,39.0,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
82,1135,secondary,urban,55.0,53.0,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
83,2025,secondary,urban,55.0,35.5,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
84,3064,arterial,urban,55.0,74.8,30.0,0,0,1,1,1,37.5,34.0,77.5,50.0,49.3,review
85,3934,arterial,urban,80.0,69.5,30.0,0,0,1,1,1,0.0,100.0,77.5,50.0,49.375,review
86,3284,arterial,urban,80.0,43.5,30.0,0,0,1,1,1,0.0,100.0,77.5,50.0,49.375,review
87,2849,arterial,urban,80.0,39.0,30.0,0,0,1,1,1,0.0,100.0,77.5,50.0,49.375,review
88,3909,arterial,urban,80.0,55.5,30.0,0,0,1,1,1,0.0,100.0,77.5,50.0,49.375,review
89,3467,arterial,urban,80.0,56.0,30.0,0,0,1,1,1,0.0,100.0,77.5,50.0,49.375,review
90,3112,arterial,urban,80.0,77.0,30.0,0,0,1,1,1,0.0,100.0,77.5,50.0,49.375,review
91,3522,arterial,urban,80.0,41.5,30.0,0,0,1,1,1,0.0,100.0,77.5,50.0,49.375,review
92,1713,arterial,urban,80.0,32.0,30.0,0,0,1,1,1,0.0,100.0,77.5,50.0,49.375,review
93,3762,arterial,urban,80.0,72.0,30.0,0,0,1,1,1,0.0,100.0,77.5,50.0,49.375,review
94,2340,arterial,urban,80.0,39.5,30.0,0,0,1,1,1,0.0,100.0,77.5,50.0,49.375,review
95,3145,arterial,urban,80.0,72.0,30.0,0,0,1,1,1,0.0,100.0,77.5,50.0,49.375,review
96,2914,arterial,urban,80.0,53.0,30.0,0,0,1,1,1,0.0,100.0,77.5,50.0,49.375,review
97,3983,arterial,urban,80.0,71.5,30.0,0,0,1,1,1,0.0,100.0,77.5,50.0,49.375,review
98,1955,arterial,urban,80.0,58.0,30.0,0,0,1,1,1,0.0,100.0,77.5,50.0,49.375,review
99,3978,arterial,urban,80.0,65.0,30.0,0,0,1,1,1,0.0,100.0,77.5,50.0,49.375,review
100,3688,arterial,urban,80.0,76.0,30.0,0,0,1,1,1,0.0,100.0,77.5,50.0,49.375,review
