segment_id,speed_safety_score,priority_label,posted_speed_limit_kph,operating_speed_kph,safe_system_reference_speed_kph,road_type,area_type
149,36.125,high_priority_review,80.0,58.0,30.0,secondary,urban
152,36.125,high_priority_review,80.0,54.0,30.0,secondary,urban
157,36.125,high_priority_review,80.0,51.0,30.0,secondary,urban
160,36.125,high_priority_review,80.0,45.5,30.0,secondary,urban
161,36.125,high_priority_review,80.0,42.0,30.0,secondary,urban
166,61.400000000000006,monitor,90.0,90.0,50.0,primary,rural
168,45.70833333333333,review,40.0,65.0,30.0,secondary,urban
170,36.125,high_priority_review,80.0,46.0,30.0,secondary,urban
172,36.125,high_priority_review,80.0,58.66666667,30.0,secondary,urban
173,56.46604938666667,monitor,80.0,99.92592592,50.0,expressway,urban
174,80.91666666666666,aligned,80.0,95.5,70.0,expressway,rural
175,63.41666666666667,monitor,80.0,85.0,50.0,expressway,urban
178,49.78508771999999,review,80.0,109.94736842,50.0,expressway,urban
195,70.15,monitor,80.0,62.0,50.0,primary,rural
196,39.81666666666667,review,80.0,85.0,30.0,primary,urban
197,65.775,monitor,85.0,62.0,50.0,primary,rural
200,43.9,review,60.0,72.0,30.0,primary,urban
201,66.15,monitor,80.0,86.0,50.0,primary,rural
202,41.15,review,90.0,93.0,30.0,primary,urban
204,60.73333333333333,monitor,90.0,91.0,50.0,primary,rural
205,46.15,review,80.0,79.0,30.0,primary,urban
206,62.81666666666666,monitor,80.0,91.0,50.0,primary,rural
209,62.150000000000006,monitor,80.0,92.0,50.0,primary,rural
210,42.15,review,90.0,91.5,30.0,primary,urban
211,55.400000000000006,monitor,90.0,99.0,50.0,primary,rural
214,61.400000000000006,monitor,90.0,57.0,50.0,primary,rural
216,60.06666666666668,monitor,90.0,92.0,50.0,primary,rural
217,61.400000000000006,monitor,90.0,79.5,50.0,primary,rural
220,43.15,review,90.0,72.0,30.0,primary,urban
221,70.15,monitor,80.0,68.75,50.0,primary,rural
222,70.15,monitor,80.0,76.0,50.0,primary,rural
227,60.06666666666668,monitor,90.0,92.0,50.0,primary,rural
228,37.81666666666666,review,80.0,88.0,30.0,primary,urban
230,39.81666666666667,review,80.0,85.0,30.0,primary,urban
231,41.15,review,80.0,83.0,30.0,primary,urban
233,40.65,review,50.0,82.0,30.0,primary,urban
234,64.15,monitor,80.0,89.0,50.0,primary,rural
236,59.400000000000006,monitor,90.0,93.0,50.0,primary,rural
237,43.15,review,80.0,74.0,30.0,primary,urban
238,70.15,monitor,80.0,69.0,50.0,primary,rural
239,43.15,review,90.0,88.0,30.0,primary,urban
240,43.15,review,90.0,83.0,30.0,primary,urban
241,36.125,high_priority_review,90.0,62.0,30.0,secondary,urban
242,36.125,high_priority_review,90.0,58.0,30.0,secondary,urban
243,50.50833333333334,review,80.0,82.8,30.0,arterial,urban
244,52.375,review,80.0,78.375,30.0,arterial,urban
245,36.125,high_priority_review,80.0,50.0,30.0,secondary,urban
246,36.125,high_priority_review,80.0,60.0,30.0,secondary,urban
249,52.375,review,90.0,85.8125,30.0,arterial,urban
250,52.375,review,90.0,88.05555555,30.0,arterial,urban
257,36.125,high_priority_review,90.0,56.0,30.0,secondary,urban
258,36.125,high_priority_review,80.0,31.0,30.0,secondary,urban
259,44.48333333333333,review,90.0,92.5,30.0,primary,urban
260,58.73333333333333,monitor,90.0,94.0,50.0,primary,rural
261,58.73333333333333,monitor,90.0,94.0,50.0,primary,rural
262,53.400000000000006,review,90.0,102.0,50.0,primary,rural
263,36.125,high_priority_review,90.0,43.0,30.0,secondary,urban
264,36.125,high_priority_review,90.0,58.0,30.0,secondary,urban
266,37.81666666666666,review,80.0,88.0,30.0,primary,urban
271,43.15,review,80.0,68.5,30.0,primary,urban
272,49.375,review,80.0,74.0,30.0,arterial,urban
273,49.375,review,80.0,73.0,30.0,arterial,urban
274,48.04166666666667,review,80.0,82.0,30.0,arterial,urban
275,49.375,review,80.0,80.0,30.0,arterial,urban
279,36.125,high_priority_review,80.0,33.5,30.0,secondary,urban
281,32.125,high_priority_review,80.0,86.0,30.0,secondary,urban
286,36.125,high_priority_review,80.0,56.0,30.0,secondary,urban
292,68.75,monitor,80.0,46.5,50.0,secondary,rural
293,36.125,high_priority_review,83.0,60.33333333,30.0,secondary,urban
296,48.06666666666666,review,56.0,67.0,30.0,primary,urban
298,43.15,review,80.0,61.0,30.0,primary,urban
300,36.125,high_priority_review,80.0,60.0,30.0,secondary,urban
301,36.125,high_priority_review,80.0,33.5,30.0,secondary,urban
305,52.375,review,90.0,33.33333333,30.0,arterial,urban
307,43.15,review,80.0,64.0,30.0,primary,urban
310,36.125,high_priority_review,80.0,76.0,30.0,secondary,urban
311,55.48333333333333,monitor,88.0,97.4,50.0,secondary,rural
314,43.15,review,90.0,75.0,30.0,primary,urban
315,43.15,review,90.0,72.0,30.0,primary,urban
321,36.125,high_priority_review,80.0,35.0,30.0,secondary,urban
322,36.125,high_priority_review,80.0,41.0,30.0,secondary,urban
330,36.125,high_priority_review,80.0,54.0,30.0,secondary,urban
331,36.125,high_priority_review,80.0,46.5,30.0,secondary,urban
333,60.0,monitor,90.0,87.0,50.0,secondary,rural
334,36.125,high_priority_review,80.0,61.0,30.0,secondary,urban
339,33.81666666666666,high_priority_review,80.0,94.0,30.0,primary,urban
341,42.81666666666667,review,90.0,90.5,30.0,primary,urban
343,42.48333333333333,review,90.0,91.0,30.0,primary,urban
355,43.15,review,80.0,46.0,30.0,primary,urban
356,43.15,review,80.0,45.0,30.0,primary,urban
368,36.125,high_priority_review,90.0,72.0,30.0,secondary,urban
369,36.125,high_priority_review,80.0,80.0,30.0,secondary,urban
370,55.0,monitor,90.0,97.5,50.0,secondary,rural
371,58.083333333333336,monitor,80.0,96.0,50.0,secondary,rural
372,22.791666666666664,high_priority_review,80.0,100.0,30.0,secondary,urban
374,36.125,high_priority_review,80.0,80.0,30.0,secondary,urban
377,36.125,high_priority_review,80.0,67.5,30.0,secondary,urban
386,46.15,review,90.0,74.0,30.0,primary,urban
387,46.15,review,80.0,74.0,30.0,primary,urban
389,46.15,review,80.0,77.5,30.0,primary,urban
390,46.15,review,90.0,56.0,30.0,primary,urban
397,68.75,monitor,80.0,49.0,50.0,secondary,rural
399,34.79166666666667,high_priority_review,80.0,82.0,30.0,secondary,urban
402,36.125,high_priority_review,90.0,88.0,30.0,secondary,urban
403,60.0,monitor,90.0,86.0,50.0,secondary,rural
405,36.125,high_priority_review,90.0,76.0,30.0,secondary,urban
410,36.125,high_priority_review,90.0,67.75,30.0,secondary,urban
411,30.125,high_priority_review,70.0,79.0,30.0,secondary,urban
417,36.125,high_priority_review,80.0,51.5,30.0,secondary,urban
546,58.08333333333333,monitor,80.0,99.0,50.0,arterial,rural
547,62.0,monitor,90.0,39.0,50.0,arterial,rural
564,49.375,review,80.0,78.0,30.0,arterial,urban
579,49.375,review,90.0,90.0,30.0,arterial,urban
581,60.66666666666667,monitor,90.0,92.0,50.0,arterial,rural
586,62.0,monitor,90.0,88.0,50.0,arterial,rural
587,59.333333333333336,monitor,90.0,94.0,50.0,arterial,rural
594,55.708333333333336,monitor,85.0,101.0,50.0,arterial,rural
611,49.375,review,90.0,70.0,30.0,arterial,urban
612,62.0,monitor,90.0,61.0,50.0,arterial,rural
629,49.375,review,90.0,89.0,30.0,arterial,urban
660,44.04166666666666,review,90.0,98.0,30.0,arterial,urban
692,48.04166666666667,review,90.0,92.0,30.0,arterial,urban
714,58.66666666666667,monitor,90.0,95.0,50.0,arterial,rural
795,62.0,monitor,90.0,76.0,50.0,arterial,rural
803,60.083333333333336,monitor,80.0,96.0,50.0,arterial,rural
811,62.0,monitor,90.0,85.0,50.0,arterial,rural
820,66.875,monitor,50.0,50.0,30.0,arterial,urban
829,77.0,aligned,40.0,87.0,50.0,arterial,rural
841,42.66666666666666,review,90.0,119.0,50.0,arterial,rural
849,45.33333333333333,review,90.0,115.0,50.0,arterial,rural
851,46.0,review,90.0,114.0,50.0,arterial,rural
852,42.0,review,90.0,120.0,50.0,arterial,rural
855,44.0,review,90.0,117.0,50.0,arterial,rural
862,44.66666666666666,review,90.0,116.0,50.0,arterial,rural
863,42.0,review,90.0,122.0,50.0,arterial,rural
871,42.0,review,90.0,125.0,50.0,arterial,rural
882,44.0,review,90.0,117.0,50.0,arterial,rural
884,42.0,review,90.0,123.0,50.0,arterial,rural
887,77.0,aligned,40.0,75.0,50.0,arterial,rural
889,58.75,monitor,80.0,98.0,50.0,arterial,rural
890,60.083333333333336,monitor,80.0,96.0,50.0,arterial,rural
892,54.66666666666666,review,90.0,101.0,50.0,arterial,rural
896,58.75,monitor,80.0,98.0,50.0,arterial,rural
908,42.0,review,90.0,120.0,50.0,arterial,rural
919,44.0,review,90.0,117.0,50.0,arterial,rural
921,42.0,review,90.0,122.0,50.0,arterial,rural
922,77.0,aligned,40.0,85.0,50.0,arterial,rural
929,43.33333333333333,review,90.0,118.0,50.0,arterial,rural
931,42.0,review,90.0,121.0,50.0,arterial,rural
935,42.0,review,90.0,126.0,50.0,arterial,rural
937,42.0,review,90.0,123.0,50.0,arterial,rural
944,42.0,review,90.0,127.0,50.0,arterial,rural
947,42.0,review,90.0,126.0,50.0,arterial,rural
957,61.41666666666666,monitor,80.0,94.0,50.0,arterial,rural
973,42.0,review,90.0,127.0,50.0,arterial,rural
986,42.0,review,90.0,123.0,50.0,arterial,rural
996,59.333333333333336,monitor,90.0,94.0,50.0,arterial,rural
998,62.0,monitor,90.0,82.0,50.0,arterial,rural
1001,43.0,review,90.0,118.5,50.0,arterial,rural
1009,42.0,review,90.0,122.0,50.0,arterial,rural
1018,47.458333333333336,review,60.0,76.0,30.0,arterial,urban
1019,49.375,review,90.0,42.0,30.0,arterial,urban
1031,68.25,monitor,60.0,115.0,50.0,arterial,rural
1034,42.66666666666666,review,90.0,119.0,50.0,arterial,rural
1052,43.33333333333333,review,90.0,118.0,50.0,arterial,rural
1056,71.58333333333333,monitor,60.0,85.0,50.0,arterial,rural
1059,74.91666666666666,monitor,60.0,80.0,50.0,arterial,rural
1069,45.33333333333333,review,90.0,115.0,50.0,arterial,rural
1086,42.66666666666666,review,90.0,119.0,50.0,arterial,rural
1096,62.0,monitor,90.0,64.0,50.0,arterial,rural
1107,49.375,review,90.0,86.0,30.0,arterial,urban
1110,49.375,review,90.0,86.0,30.0,arterial,urban
1136,43.33333333333333,review,90.0,118.0,50.0,arterial,rural
1145,56.08333333333333,monitor,80.0,102.0,50.0,arterial,rural
1151,56.66666666666666,monitor,90.0,98.0,50.0,arterial,rural
1154,46.0,review,90.0,114.0,50.0,arterial,rural
1157,42.0,review,90.0,120.0,50.0,arterial,rural
1260,45.33333333333333,review,90.0,115.0,50.0,arterial,rural
1264,42.0,review,90.0,124.0,50.0,arterial,rural
1281,49.375,review,80.0,58.0,30.0,arterial,urban
1290,42.0,review,90.0,123.0,50.0,arterial,rural
1320,36.04166666666666,review,90.0,110.0,30.0,arterial,urban
1471,42.0,review,90.0,123.0,50.0,arterial,rural
1494,42.0,review,90.0,121.0,50.0,arterial,rural
1498,42.0,review,90.0,121.0,50.0,arterial,rural
1574,42.0,review,90.0,128.0,50.0,arterial,rural
1587,42.0,review,90.0,121.0,50.0,arterial,rural
1589,42.0,review,90.0,121.0,50.0,arterial,rural
1603,42.66666666666666,review,90.0,119.0,50.0,arterial,rural
1620,46.0,review,90.0,114.0,50.0,arterial,rural
1646,48.0,review,90.0,111.0,50.0,arterial,rural
1669,47.33333333333333,review,90.0,112.0,50.0,arterial,rural
1679,48.0,review,90.0,111.0,50.0,arterial,rural
1685,50.66666666666666,review,90.0,107.0,50.0,arterial,rural
1721,44.66666666666666,review,90.0,116.0,50.0,arterial,rural
1749,46.66666666666666,review,90.0,113.0,50.0,arterial,rural
1804,62.0,monitor,90.0,51.0,50.0,arterial,rural
1822,62.0,monitor,90.0,50.0,50.0,arterial,rural
1847,43.33333333333333,review,90.0,118.0,50.0,arterial,rural
1852,49.375,review,80.0,65.0,30.0,arterial,urban
1867,41.375,review,90.0,102.0,30.0,arterial,urban
1902,48.66666666666666,review,90.0,110.0,50.0,arterial,rural
1930,46.708333333333336,review,90.0,94.0,30.0,arterial,urban
1931,49.375,review,90.0,90.0,30.0,arterial,urban
1933,45.33333333333333,review,90.0,115.0,50.0,arterial,rural
1942,49.375,review,90.0,90.0,30.0,arterial,urban
1951,50.0,review,90.0,108.0,50.0,arterial,rural
2041,47.33333333333333,review,90.0,112.0,50.0,arterial,rural
2045,46.66666666666666,review,90.0,113.0,50.0,arterial,rural
2097,46.0,review,90.0,114.0,50.0,arterial,rural
2101,51.333333333333336,review,90.0,106.0,50.0,arterial,rural
2130,62.0,monitor,90.0,89.0,50.0,arterial,rural
2155,60.66666666666667,monitor,90.0,92.0,50.0,arterial,rural
2172,43.33333333333333,review,90.0,118.0,50.0,arterial,rural
2204,45.33333333333333,review,90.0,115.0,50.0,arterial,rural
2207,44.0,review,90.0,117.0,50.0,arterial,rural
2218,45.33333333333333,review,90.0,115.0,50.0,arterial,rural
2226,44.66666666666666,review,90.0,116.0,50.0,arterial,rural
2241,42.0,review,90.0,121.0,50.0,arterial,rural
2273,45.33333333333333,review,90.0,115.0,50.0,arterial,rural
2277,47.04166666666667,review,90.0,93.5,30.0,arterial,urban
2282,53.79166666666666,review,60.0,66.5,30.0,arterial,urban
2307,44.70833333333333,review,90.0,97.0,30.0,arterial,urban
2309,41.375,review,90.0,102.0,30.0,arterial,urban
2311,46.66666666666666,review,90.0,113.0,50.0,arterial,rural
2316,44.0,review,90.0,117.0,50.0,arterial,rural
2366,44.70833333333333,review,80.0,87.0,30.0,arterial,urban
2370,48.708333333333336,review,80.0,81.0,30.0,arterial,urban
2377,46.66666666666666,review,90.0,113.0,50.0,arterial,rural
2407,42.66666666666666,review,90.0,119.0,50.0,arterial,rural
2431,39.375,review,90.0,105.0,30.0,arterial,urban
2451,62.0,monitor,90.0,47.0,50.0,arterial,rural
2456,50.0,review,90.0,108.0,50.0,arterial,rural
2509,49.333333333333336,review,90.0,109.0,50.0,arterial,rural
2526,47.33333333333333,review,90.0,112.0,50.0,arterial,rural
2564,54.66666666666666,review,90.0,101.0,50.0,arterial,rural
2580,58.0,monitor,90.0,96.0,50.0,arterial,rural
2581,46.04166666666667,review,90.0,95.0,30.0,arterial,urban
2585,49.375,review,80.0,76.0,30.0,arterial,urban
2604,46.66666666666666,review,90.0,113.0,50.0,arterial,rural
2616,44.66666666666666,review,90.0,116.0,50.0,arterial,rural
2699,50.0,review,90.0,108.0,50.0,arterial,rural
2701,46.0,review,90.0,114.0,50.0,arterial,rural
2711,52.75,review,80.0,107.0,50.0,arterial,rural
2724,51.333333333333336,review,90.0,106.0,50.0,arterial,rural
2726,47.33333333333333,review,90.0,112.0,50.0,arterial,rural
2730,55.41666666666666,monitor,80.0,103.0,50.0,arterial,rural
2732,54.75,review,80.0,104.0,50.0,arterial,rural
2747,49.375,review,90.0,71.0,30.0,arterial,urban
2766,49.333333333333336,review,90.0,109.0,50.0,arterial,rural
2768,53.333333333333336,review,90.0,103.0,50.0,arterial,rural
2790,42.0,review,90.0,121.0,50.0,arterial,rural
2793,46.0,review,90.0,114.0,50.0,arterial,rural
2795,71.5,monitor,70.0,82.0,50.0,arterial,rural
2802,58.0,monitor,90.0,96.0,50.0,arterial,rural
2830,49.375,review,90.0,83.0,30.0,arterial,urban
2837,48.04166666666667,review,90.0,92.0,30.0,arterial,urban
2847,62.083333333333336,monitor,80.0,93.0,50.0,arterial,rural
2856,50.0,review,90.0,108.0,50.0,arterial,rural
2860,40.708333333333336,review,90.0,103.0,30.0,arterial,urban
2862,41.375,review,90.0,102.0,30.0,arterial,urban
2916,75.125,aligned,75.0,66.0,50.0,arterial,rural
2927,42.70833333333333,review,90.0,100.0,30.0,arterial,urban
2929,47.375,review,90.0,93.0,30.0,arterial,urban
2933,50.66666666666666,review,90.0,107.0,50.0,arterial,rural
3009,45.33333333333333,review,90.0,115.0,50.0,arterial,rural
3012,62.0,monitor,90.0,87.0,50.0,arterial,rural
3014,62.0,monitor,90.0,82.0,50.0,arterial,rural
3042,48.0,review,90.0,111.0,50.0,arterial,rural
3043,46.0,review,90.0,114.0,50.0,arterial,rural
3140,61.86666666666667,monitor,90.0,90.2,50.0,arterial,rural
3182,50.0,review,90.0,108.0,50.0,arterial,rural
3184,46.0,review,90.0,114.0,50.0,arterial,rural
3221,59.333333333333336,monitor,90.0,94.0,50.0,arterial,rural
3288,49.375,review,80.0,66.0,30.0,arterial,urban
3341,44.70833333333333,review,90.0,97.0,30.0,arterial,urban
3342,64.75,monitor,80.0,89.0,50.0,arterial,rural
3371,45.33333333333333,review,90.0,115.0,50.0,arterial,rural
3373,48.0,review,90.0,111.0,50.0,arterial,rural
3417,56.75,monitor,80.0,101.0,50.0,arterial,rural
3511,35.375,review,80.0,101.0,30.0,arterial,urban
3561,60.083333333333336,monitor,80.0,96.0,50.0,arterial,rural
3562,58.75,monitor,80.0,98.0,50.0,arterial,rural
3575,40.708333333333336,review,90.0,103.0,30.0,arterial,urban
3598,44.66666666666666,review,90.0,116.0,50.0,arterial,rural
3601,47.66666666666666,review,90.0,111.5,50.0,arterial,rural
3631,44.0,review,90.0,117.0,50.0,arterial,rural
3634,42.66666666666666,review,90.0,119.0,50.0,arterial,rural
3665,36.70833333333333,review,80.0,99.0,30.0,arterial,urban
3675,57.33333333333333,monitor,90.0,97.0,50.0,arterial,rural
3688,39.375,review,90.0,105.0,30.0,arterial,urban
3789,61.333333333333336,monitor,90.0,91.0,50.0,arterial,rural
3791,54.0,review,90.0,102.0,50.0,arterial,rural
3949,51.333333333333336,review,90.0,106.0,50.0,arterial,rural
4028,51.333333333333336,review,90.0,106.0,50.0,arterial,rural
4034,46.66666666666666,review,90.0,113.0,50.0,arterial,rural
4107,45.375,review,90.0,96.0,30.0,arterial,urban
4125,53.333333333333336,review,90.0,103.0,50.0,arterial,rural
4140,42.70833333333333,review,90.0,100.0,30.0,arterial,urban
4151,55.33333333333333,monitor,90.0,100.0,50.0,arterial,rural
4154,49.375,review,80.0,59.0,30.0,arterial,urban
4155,59.333333333333336,monitor,90.0,94.0,50.0,arterial,rural
4163,49.375,review,80.0,68.0,30.0,arterial,urban
4197,40.125,review,60.0,87.0,30.0,arterial,urban
4201,52.08333333333333,review,80.0,108.0,50.0,arterial,rural
4304,65.41666666666666,monitor,80.0,88.0,50.0,arterial,rural
4311,58.0,monitor,90.0,96.0,50.0,arterial,rural
4315,55.33333333333333,monitor,90.0,100.0,50.0,arterial,rural
4349,39.45833333333333,review,60.0,88.0,30.0,arterial,urban
4424,62.0,monitor,90.0,81.0,50.0,arterial,rural
4432,49.375,review,90.0,90.0,30.0,arterial,urban
4560,54.08333333333333,review,80.0,105.0,50.0,arterial,rural
4563,54.75,review,80.0,104.0,50.0,arterial,rural
4612,56.08333333333333,monitor,80.0,102.0,50.0,arterial,rural
4615,38.04166666666666,review,90.0,107.0,30.0,arterial,urban
4630,52.0,review,90.0,105.0,50.0,arterial,rural
4631,60.333333333333336,monitor,90.0,92.5,50.0,arterial,rural
4659,60.0,monitor,90.0,93.0,50.0,arterial,rural
4689,62.0,monitor,90.0,90.0,50.0,arterial,rural
4691,57.33333333333333,monitor,90.0,97.0,50.0,arterial,rural
4697,62.0,monitor,90.0,69.0,50.0,arterial,rural
4704,42.04166666666666,review,80.0,91.0,30.0,arterial,urban
4753,49.375,review,90.0,84.0,30.0,arterial,urban
4802,38.708333333333336,review,90.0,106.0,30.0,arterial,urban
4838,44.66666666666666,review,90.0,116.0,50.0,arterial,rural
4870,54.75,review,80.0,104.0,50.0,arterial,rural
4920,48.66666666666666,review,90.0,110.0,50.0,arterial,rural
4938,56.66666666666666,monitor,90.0,98.0,50.0,arterial,rural
4941,51.333333333333336,review,90.0,106.0,50.0,arterial,rural
4943,38.04166666666666,review,90.0,107.0,30.0,arterial,urban
4970,55.33333333333333,monitor,90.0,100.0,50.0,arterial,rural
4971,52.0,review,90.0,105.0,50.0,arterial,rural
4991,53.41666666666666,review,80.0,106.0,50.0,arterial,rural
5007,34.041666666666664,high_priority_review,80.0,103.0,30.0,arterial,urban
5021,61.41666666666666,monitor,80.0,94.0,50.0,arterial,rural
5064,56.66666666666666,monitor,90.0,98.0,50.0,arterial,rural
5065,44.70833333333333,review,80.0,87.0,30.0,arterial,urban
5072,40.708333333333336,review,80.0,93.0,30.0,arterial,urban
5081,40.04166666666666,review,80.0,94.0,30.0,arterial,urban
5084,46.04166666666667,review,80.0,85.0,30.0,arterial,urban
5115,42.70833333333333,review,80.0,90.0,30.0,arterial,urban
5124,62.0,monitor,90.0,82.0,50.0,arterial,rural
5152,42.70833333333333,review,90.0,100.0,30.0,arterial,urban
5155,40.708333333333336,review,90.0,103.0,30.0,arterial,urban
5158,38.04166666666666,review,90.0,107.0,30.0,arterial,urban
5204,50.333333333333336,review,90.0,107.5,50.0,arterial,rural
5207,48.0,review,90.0,111.0,50.0,arterial,rural
5209,46.66666666666666,review,90.0,113.0,50.0,arterial,rural
5212,51.333333333333336,review,90.0,106.0,50.0,arterial,rural
5214,49.77777778,review,90.0,108.33333333,50.0,arterial,rural
5215,50.0,review,90.0,108.0,50.0,arterial,rural
5219,44.04166666666666,review,80.0,88.0,30.0,arterial,urban
5224,40.04166666666666,review,90.0,104.0,30.0,arterial,urban
5232,48.708333333333336,review,80.0,81.0,30.0,arterial,urban
5246,48.0,review,90.0,111.0,50.0,arterial,rural
5250,50.75,review,80.0,112.0,50.0,arterial,rural
5252,51.333333333333336,review,90.0,106.0,50.0,arterial,rural
5256,48.0,review,90.0,111.0,50.0,arterial,rural
5270,47.33333333333333,review,90.0,112.0,50.0,arterial,rural
5279,29.375,high_priority_review,80.0,112.0,30.0,arterial,urban
5280,36.70833333333333,review,80.0,99.0,30.0,arterial,urban
5301,56.75,monitor,80.0,101.0,50.0,arterial,rural
5304,34.041666666666664,high_priority_review,90.0,113.0,30.0,arterial,urban
5305,44.04166666666666,review,80.0,88.0,30.0,arterial,urban
5307,34.041666666666664,high_priority_review,80.0,103.0,30.0,arterial,urban
5308,52.66666666666666,review,90.0,104.0,50.0,arterial,rural
5318,33.375,high_priority_review,80.0,104.0,30.0,arterial,urban
5319,56.75,monitor,80.0,101.0,50.0,arterial,rural
5344,50.66666666666666,review,90.0,107.0,50.0,arterial,rural
5351,36.04166666666666,review,80.0,100.0,30.0,arterial,urban
5359,44.0,review,90.0,117.0,50.0,arterial,rural
5362,48.66666666666666,review,90.0,110.0,50.0,arterial,rural
5402,29.375,high_priority_review,80.0,113.0,30.0,arterial,urban
5407,40.04166666666666,review,90.0,104.0,30.0,arterial,urban
5414,33.375,high_priority_review,80.0,104.0,30.0,arterial,urban
5427,34.70833333333333,high_priority_review,80.0,102.0,30.0,arterial,urban
5432,42.70833333333333,review,90.0,100.0,30.0,arterial,urban
5440,52.0,review,90.0,105.0,50.0,arterial,rural
5450,52.0,review,90.0,105.0,50.0,arterial,rural
5464,55.08333333333333,monitor,80.0,103.5,50.0,arterial,rural
5467,50.0,review,90.0,108.0,50.0,arterial,rural
5470,48.0,review,90.0,111.0,50.0,arterial,rural
5530,48.66666666666666,review,90.0,110.0,50.0,arterial,rural
5539,54.08333333333333,review,80.0,105.0,50.0,arterial,rural
5541,50.0,review,90.0,108.0,50.0,arterial,rural
5543,40.04166666666666,review,80.0,94.0,30.0,arterial,urban
5562,34.041666666666664,high_priority_review,80.0,103.0,30.0,arterial,urban
5606,46.875,review,50.0,107.0,30.0,arterial,urban
5607,77.0,aligned,50.0,107.0,50.0,arterial,rural
5612,51.333333333333336,review,90.0,106.0,50.0,arterial,rural
5613,38.708333333333336,review,90.0,106.0,30.0,arterial,urban
5628,62.0,monitor,90.0,83.0,50.0,arterial,rural
5642,42.04166666666666,review,80.0,91.0,30.0,arterial,urban
